Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,UK Viewership,Channel Name,Pitchers Gender,Pitchers Average Age,Pitchers City,Pitchers State,Entrepreneur Names,Multiple Entrepreneurs,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Deal Successful,Total Deal Amount,Total Deal Equity,Deal Valuation,Number of Dragons in Deal,Investment Amount Per Dragon,Equity Per Dragon,Royalty Deal,Advisory Shares Equity,Loan,Deal Has Conditions,Peter Jones Investment Amount,Peter Jones Investment Equity,Deborah Meaden Investment Amount,Deborah Meaden Investment Equity,Duncan Bannatyne Investment Amount,Duncan Bannatyne Investment Equity,Theo Paphitis Investment Amount,Theo Paphitis Investment Equity,Touker Suleyman Investment Amount,Touker Suleyman Investment Equity,Sara Davies Investment Amount,Sara Davies Investment Equity,Guest Investment Amount,Guest Investment Equity,Invested Guest Name,Peter Jones Present,Deborah Meaden Present,Duncan Bannatyne Present,Theo Paphitis Present,Touker Suleyman Present,Sara Davies Present,Guest Present
1,ArtOutThere,1,1,4-Jan-05,8-Feb-05,4-Jan-05,Fitness/Sports/Outdoors,"An annual arts and music, outdoor weekend event",,,BBC Two,,,,,Gavin Drake,0,100000,49,204082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,BabyDreamMachine,1,2,4-Jan-05,8-Feb-05,4-Jan-05,,Aid for rocking baby cots,,,BBC Two,,,,,Graham Whitby and Barry Haigh,1,250000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,BlowDryBar,1,3,4-Jan-05,8-Feb-05,4-Jan-05,,Hairdressing salon offering blow-dry services,,,BBC Two,,,,,Rachel Fiddes,0,60000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,EmandJoLtd,1,4,4-Jan-05,8-Feb-05,4-Jan-05,,"Womenswear, fashion and accessories",,,BBC Two,,,,,Joanne Morrison and Emma McPherson,1,60000,20,300000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,EthicalClothingRange,1,5,4-Jan-05,8-Feb-05,4-Jan-05,,Ethical clothing fashion range,,,BBC Two,,,,,Jeremy Davis,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,GolfAdvertisingLtd,1,6,4-Jan-05,8-Feb-05,4-Jan-05,,Golf advertising in driving range bays,,,BBC Two,,,,,Yul Thompson,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,Incarnation,1,7,4-Jan-05,8-Feb-05,4-Jan-05,,Disney themed car styling,,,BBC Two,,,,,Paul Clark,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,StubbiandCoLtd,1,8,4-Jan-05,8-Feb-05,4-Jan-05,,Cigarette stub pouches,,,BBC Two,,,,,Ian McCormack,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,Umbrolly,1,9,4-Jan-05,8-Feb-05,4-Jan-05,Business Services,Multimedia vending unit selling umbrellas and adverts,,,BBC Two,,,,,Charles Ejogo,0,150000,40,375000,1,1,1,150000,40,375000,2,75000,20,,,,,75000,20,,,75000,20,,,,,,,,,,1,,1,,,,
1,WelltimeLtd,1,10,4-Jan-05,8-Feb-05,4-Jan-05,,Software and IT development consultancy,,,BBC Two,,,,,Mubbasher Khanzada,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,AllofaQuiver,2,11,4-Jan-05,8-Feb-05,11-Jan-05,,Hands free holder for carrying flowers,,,BBC Two,,,,,Lyn Harlow,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,Dog&DuckAle,2,12,4-Jan-05,8-Feb-05,11-Jan-05,Liquor/Alcohol,Ale beer cartons,,,BBC Two,,,,,John Dibden,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,GrailsLtd1,2,13,4-Jan-05,8-Feb-05,11-Jan-05,Fashion/Beauty,Tailor-made suits for businesswomen,,,BBC Two,,,,,Tracey Ann Graily,0,120000,40,300000,1,1,1,120000,40,300000,2,60000,20,,,,,,,,,,,,,,,,,120000,40,"DougRichard,RachelElnaugh",1,,1,,,,2
1,KestrelAerospacePAV,2,14,4-Jan-05,8-Feb-05,11-Jan-05,,One person air vehicle using a ducted fan propulsion system,,,BBC Two,,,,,Simon Scott,0,150000,15,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,LaserDIY,2,15,4-Jan-05,8-Feb-05,11-Jan-05,,Laser operated spirit level,,,BBC Two,,,,,Nigel Williams,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,MandalaAroma,2,16,4-Jan-05,8-Feb-05,11-Jan-05,Fashion/Beauty,Organic aromatherapy skin products,,,BBC Two,,,,,Gillian Kavannagh,0,50000,10,500000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,MigraCap,2,17,4-Jan-05,8-Feb-05,11-Jan-05,,Headband for migraines relief,,,BBC Two,,,,,Hywel Edwards and Alison Morgan,1,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,MusicControl,2,18,4-Jan-05,8-Feb-05,11-Jan-05,Software/Tech,Website launches for independent music artists,,,BBC Two,,,,,Richard Croft and Chris Thompson,1,200000,25,800000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,ProjectY,2,19,4-Jan-05,8-Feb-05,11-Jan-05,Green/CleanTech,Fair trade organic fast-food outlets,,,BBC Two,,,,,Justin Gabriel,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,PureBake,2,20,4-Jan-05,8-Feb-05,11-Jan-05,,Additive-free baking powders,,,BBC Two,,,,,Marianne Jones,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,StableTable,2,21,4-Jan-05,8-Feb-05,11-Jan-05,,Device designed to stabilise unbalanced tables,,,BBC Two,,,,,Andrew Gordon,0,87000,33,263636,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,Awaydays,3,22,4-Jan-05,8-Feb-05,18-Jan-05,,Funding for a film project,,,BBC Two,,,,,Kevin Sampson,0,100000,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
1,CareFreeHouse,3,23,4-Jan-05,8-Feb-05,18-Jan-05,,Castle restorations,,,BBC Two,,,,,James Brown,0,80000,8,1000000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,
